id,filename,participant_id,room_id,device_placement_id,session_id,polar_position_id,distance,polar_angle,utterance_id,dov_angle,mic_channel,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,recording0_0_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,0,0,0.12734,0.32203,0.5193,0.84133,0.68289,6.145e-05,0.000125,-0.000125,0,-7.2917e-05,4.5294e-06,1.0319e-05,2.5849e-05,3.6168e-05,3.1627e-05,6.145e-05,0.000125,-0.000125,0,-7.2917e-05
1,recording0_45_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,45,0,0.12261,0.29197,0.52223,0.81421,0.64485,6.455e-05,0.000125,-0.000125,0,-8.3333e-05,7.1517e-06,1.5532e-05,1.9281e-05,3.4813e-05,2.8936e-05,6.455e-05,0.000125,-0.000125,0,-8.3333e-05
2,recording0_90_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,90,0,0.092646,0.23111,0.37558,0.60669,0.46717,6.455e-05,0.000125,-0.000125,0,-8.3333e-05,2.8754e-06,7.0434e-06,2.0133e-05,2.7177e-05,2.3865e-05,6.455e-05,0.000125,-0.000125,0,-8.3333e-05
3,recording0_135_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,135,0,0.031975,0.079503,0.24394,0.32345,0.28512,5.5902e-05,0.000125,-0.000125,0,-6.25e-05,2.3471e-06,5.2164e-06,1.5508e-05,2.0724e-05,1.9034e-05,5.5902e-05,0.000125,-0.000125,0,-6.25e-05
4,recording0_180_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,180,0,0.039849,0.10573,0.27031,0.37603,0.32224,4.7048e-05,0.000125,-0.000125,0,-5.2083e-05,2.4851e-06,5.9254e-06,1.6189e-05,2.2115e-05,2.046e-05,4.7048e-05,0.000125,-0.000125,0,-5.2083e-05
5,recording0_225_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,225,0,0.067393,0.15213,0.40096,0.55309,0.4602,6.145e-05,0.0001875,-0.000125,6.25e-05,-5.2083e-05,2.2733e-06,5.3653e-06,2.1697e-05,2.7063e-05,2.4551e-05,6.145e-05,0.0001875,-0.000125,6.25e-05,-5.2083e-05
6,recording0_270_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,270,0,0.067501,0.17456,0.39823,0.57279,0.48177,6.8465e-05,0.0001875,-0.000125,6.25e-05,-6.25e-05,2.8304e-06,7.7571e-06,2.1925e-05,2.9682e-05,2.5524e-05,6.8465e-05,0.0001875,-0.000125,6.25e-05,-6.25e-05
7,recording0_315_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording0,315,0,0.072459,0.19981,0.47005,0.66986,0.57751,6.145e-05,0.000125,-0.000125,0,-7.2917e-05,4.2851e-06,1.1169e-05,2.2932e-05,3.4101e-05,2.737e-05,6.145e-05,0.000125,-0.000125,0,-7.2917e-05
8,recording1_0_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording1,0,0,0.11553,0.29669,0.50091,0.7976,0.65772,6.145e-05,0.000125,-0.000125,0,-7.2917e-05,3.8533e-06,9.0364e-06,2.5391e-05,3.4428e-05,3.0205e-05,6.145e-05,0.000125,-0.000125,0,-7.2917e-05
9,recording1_45_0.wav,s1,upstairs,wall,trial1,A0,1,0,recording1,45,0,0.10535,0.25569,0.50031,0.75599,0.61037,6.455e-05,0.000125,-0.000125,0,-8.3333e-05,4.8504e-06,1.1828e-05,1.9705e-05,3.1532e-05,2.6614e-05,6.455e-05,0.000125,-0.000125,0,-8.3333e-05
